398,341.69,0.86,0.14,5.37,3
278,880.88,3.17,0.22,6.22,2
3490,4005.41,1.15,0,15.54,1
9,33.5,3.72,0,6.37,2
1166,15288.44,13.11,0,24.29,1
501,719.28,1.44,0,5.21,3
3459,4313.67,1.25,0,17.55,1
655,3323.35,5.07,0,26.93,1
1020,3808.4,3.73,0,6.78,2
86,1146.01,13.33,3.09,40.67,1
151,172.24,1.14,0,1.83,3
96,85.07,0.89,0,2.8,3
816,5112.08,6.26,0,22.32,1
99,1685.5,17.03,8.61,22.61,4
250,290.43,1.16,0,4.29,3
23,33.05,1.44,0.79,1.06,3
198,576.91,2.91,0.61,6.49,2
45,39.73,0.88,0,1.34,3
242,446.63,1.85,0.44,5.59,3
525,630.73,1.2,0,3.32,3
896,2532.91,2.83,0.39,6.55,2
2705,1625.75,0.6,0,3.05,3
10,13.24,1.32,0.79,1.43,3
180,246.04,1.37,0,3.23,3
1544,5198.85,3.37,0,10.69,2
697,7913.08,11.35,0,21.75,1
133,228.87,1.72,0.26,5.31,3
43,467.07,10.86,6,13.91,1
242,2581.63,10.67,2.45,19.2,1
1012,5900.84,5.83,0.04,17.15,1
795,4664.2,5.87,0,24.34,1
2096,112749.71,53.79,2.81,83.1,4
1278,2913.68,2.28,0,9.84,2
358,419.97,1.17,0.12,5.52,3
575,191.36,0.33,0.21,0.35,3
955,1180.24,1.24,0,5.72,3
147,223.07,1.52,0.19,3.84,3
66,54.95,0.83,0,1.75,2
1732,111799.2,64.55,9.85,83.73,4
779,2305.13,2.96,0.66,4.98,2
163,307.29,1.89,1.32,2.83,3
20616,4974.02,0.24,0.01,6.65,2
1758,111993.72,63.71,6.64,84.33,4
755,5119.62,6.78,0,25.03,1
14902,52514.42,3.52,0,11.54,2
104,128.81,1.24,0.38,3.11,3
354,743.69,2.1,0.06,4.74,3
192,222.07,1.16,0.04,2.1,3
478,1628.08,3.41,0.26,6.53,2
1604,2272.47,1.42,0.1,4.19,3
86,124.02,1.44,0.26,2.79,3
146,1027.48,7.04,2.06,15.48,1
190,2247.8,11.83,5.01,12.32,1
46,73.36,1.59,0.48,2.92,3
1078,3524.18,3.27,0,11.35,2
974,3259.74,3.35,0.04,11.35,2
156,95.87,0.61,0,2.48,3
214,256.24,1.2,0.12,2.65,3
23452,9382.42,0.4,0,5.48,3
1960,16920.12,8.63,0,22.99,1
152,280.81,1.85,0.13,5.14,3
315,599.14,1.9,0,5.23,3
350,2787.71,7.96,0.04,17.75,1
1077,4243.79,3.94,0,11.12,2
101,905.38,8.96,0.69,19.42,1
448,1518.59,3.39,0,10.85,2
110,160.35,1.46,0.24,4.49,3
493,523.02,1.06,0,5.7,3
6312,9163.97,1.45,0,10.14,2
16530,2695.79,0.16,0,9.49,2
380,536.84,1.41,0.2,2.54,3
868,1347.5,1.55,0,5.76,3
1985,1913.59,0.96,0.03,2.02,3
756,6234.31,8.25,0,22.05,1
1804,5135.01,2.85,0.11,12.12,2
1026,3257.43,3.17,0,11.66,2
318,1694.08,5.33,0.17,16.18,1
328,428.47,1.31,0.08,3.54,1
1086,3299.24,3.04,0.12,8.87,2
440,396.56,0.9,0,5.32,3
968,3332.61,3.44,0,8.63,2
117,175.09,1.5,0,2.74,3
849,2376.25,2.8,0,11.15,2
460,1630.99,3.55,0.3,10.33,2
652,8384.35,12.86,0,20.76,1
80,51.62,0.65,0,1.31,3
1466,4023.66,2.74,0,10.25,2
985,4161.11,4.22,0.2,13.29,2
66,67.46,1.02,0.24,2.29,2
26,4.87,0.19,0.04,0.71,3
1197,10629.87,8.88,0,20.94,1
748,2110.01,2.82,0,7.61,2
2762,4774.99,1.73,0,11.3,2
506,875.13,1.73,0,6.25,2
1298,3579.13,2.76,0,9.32,2
78,121.36,1.56,0.28,3.91,3
195,448.55,2.3,0.44,4.55,3
220,259.51,1.18,0.06,3.16,3
